jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,80.0,completed,0.0,5260,3017,1
2,88.0,completed,0.0,6410,4331,1
3,75.0,completed,0.0,5684,4975,1
4,75.0,completed,0.0,4401,3610,1
5,92.0,completed,0.0,6650,5226,1
6,90.0,completed,0.0,6919,5282,1
7,90.0,completed,0.0,5440,4233,1
8,57.0,completed,0.0,6188,3185,1
9,86.0,completed,0.0,7115,4505,1
10,57.0,completed,0.0,4166,4945,1
11,43.0,completed,0.0,6177,3184,1
12,90.0,completed,0.0,5451,5491,1
13,85.0,completed,0.0,6316,6585,1
14,57.0,completed,0.0,5127,2798,1
15,90.0,completed,28.023829,4821,4848,2
16,71.0,completed,0.0,3745,4473,1
17,85.0,completed,0.0,6487,5793,1
18,72.0,completed,0.0,7354,3225,1
19,72.0,completed,0.0,6048,2958,1
20,85.0,completed,0.0,5340,3236,1
21,57.0,completed,0.0,5683,5151,1
22,75.0,completed,0.0,5515,3697,1
23,71.0,completed,0.0,6428,4361,1
24,86.0,completed,0.0,6242,3390,1
25,100.0,completed,0.0,7048,5412,1
26,57.0,completed,0.0,5621,5690,1
27,100.0,completed,0.0,7438,4069,1
28,75.0,completed,0.0,6117,3984,1
29,85.0,completed,0.0,6898,4971,1
30,85.0,completed,0.0,5510,3499,1
31,88.0,completed,0.0,8983,4925,1
32,90.0,completed,0.0,9851,4669,1
33,57.0,completed,0.0,4687,3990,1
34,57.14,completed,0.0,4497,4866,1
35,57.0,completed,0.0,6835,3645,1
36,82.0,completed,0.0,6025,5419,1
37,92.0,completed,0.0,5675,4775,1
38,60.0,completed,0.0,5014,5213,1
39,57.0,completed,0.0,5617,4183,1
40,90.0,completed,0.0,4953,4397,1
41,70.0,completed,0.0,4397,3293,1
42,57.0,completed,0.0,6030,3526,1
43,92.0,completed,0.0,6337,4720,1
44,82.0,completed,0.0,5207,4402,1
45,85.0,completed,0.0,3739,4732,1
46,85.0,completed,0.0,4640,4807,1
47,83.0,completed,0.0,3389,4385,1
48,100.0,completed,0.0,3274,5854,1
49,85.0,completed,0.0,3433,5048,1
50,57.0,completed,0.0,5249,3891,1
51,81.0,completed,0.0,7734,5864,1
52,85.0,completed,0.0,4669,3547,1
53,100.0,completed,0.0,6808,6145,1
54,92.0,completed,0.0,4976,4668,1
55,65.0,completed,0.0,4635,4491,1
56,90.0,completed,0.0,6302,5712,1
57,92.0,completed,0.0,6139,4079,1
58,75.0,completed,0.0,6309,3942,1
59,57.0,completed,0.0,5485,3628,1
60,57.0,completed,0.0,5164,3943,1
61,82.0,completed,0.0,4636,4340,1
62,85.0,completed,0.0,5050,4354,1
63,88.0,completed,0.0,6254,6088,1
64,92.0,completed,0.0,6265,5257,1
65,83.0,completed,0.0,7893,4028,1
66,75.0,completed,0.0,6051,5142,1
67,57.0,completed,0.0,4724,2797,1
68,89.0,completed,0.0,6351,3957,1
69,71.0,completed,0.0,4916,5042,1
70,90.0,completed,0.0,4159,5333,1
71,57.0,completed,0.0,4525,2745,1
72,71.0,completed,0.0,5214,4142,1
73,57.0,completed,0.0,4138,3586,1
74,57.0,completed,0.0,4829,3682,1
75,85.0,completed,0.0,4465,3770,1
76,57.0,completed,0.0,5044,3358,1
77,57.0,completed,0.0,4977,4036,1
78,100.0,completed,0.0,5854,6506,1
79,85.0,completed,0.0,4626,4372,1
80,92.0,completed,0.0,8287,3983,1
81,72.0,completed,0.0,4979,3754,1
82,57.0,completed,0.0,4430,5289,1
83,90.0,completed,0.0,6532,3493,1
84,71.0,completed,0.0,5878,3177,1
85,60.0,completed,0.0,5510,3698,1
86,85.0,completed,0.0,6114,4377,1
87,100.0,completed,0.0,6738,4718,1
88,88.0,completed,0.0,5394,4291,1
89,57.0,completed,0.0,4912,4806,1
90,82.0,completed,0.0,6336,3663,1
91,65.0,completed,0.0,6450,4206,1
92,88.0,completed,0.0,5523,4556,1
93,75.0,completed,0.0,4403,4083,1
94,71.0,completed,0.0,5673,3778,1
95,82.0,completed,0.0,6214,4917,1
96,85.0,completed,0.0,5560,4385,1
97,57.0,completed,0.0,5216,3794,1
98,92.0,completed,0.0,6845,4377,1
99,92.0,completed,0.0,5796,5471,1
100,90.0,completed,0.0,6120,5660,1
